-0,-0,-0,-0,0,0.30874,0,-0,0.27271
-0.25958,0,-0,0,-0.25904,-0,0,-0,0
-0,0,0,-0,-0,-0,-0,0,0
-0.27112,0,0,0,-0,-0,-0,0,-0
-0,-0,-0,-0,-0,-0,0,-0,0
-0,-0,0,-0,0,-0,0,0.27083,0
-0,-0,-0,-0,-0,0,0,-0,-0
-0,-0,-0,-0,0,-0,0,0.26969,0
-0.24711,0,0,0,-0,0,-0,-0,-0.27168
-0,-0,-0,0.33062,0.31833,-0,0,-0,0
-0,0,-0.28526,0,0,-0,-0.30817,0,-0
-0.25227,0,0.30431,-0,-0,0,-0,-0,0
0,0,-0,0,0,0,-0,0.29132,0
-0.27881,-0,0.27073,-0,0,-0,0,-0,-0.27745
0,0,-0,0.26561,0.26861,0,-0,-0.26301,0.27598
-0.27949,0,-0,0,0,0,0,-0.30073,0.26603
-0,-0.15969,-0,-0,0.11235,-0,0,-0,0
-0.30051,0.33331,-0,-0,-0.25648,0,0.31998,-0,0
-0,0.24669,0.262,-0,0.25622,-0,-0.2687,0.24589,0
-0,0.34168,-0,-0,0,0.23177,0,-0,0
-0,-0,0,-0,-0,0,0.28757,0,-0
0,0,-0,0,-0.25086,0,0,0,0
0,0,-0,0,-0,-0,0.29131,0,0
0,-0,-0,-0.26656,-0,0,0,0,0
-0,0,0,-0,-0,0,-0,0,0
-0,-0,0,-0,0,-0,0,-0,0.27237
0.37054,-0,-0,-0,0,-0,0,-0,0
0,-0,-0.33642,0,0.25998,-0,-0,-0,-0.27421
-0,-0,-0,0.41403,0,-0,0,0.31316,0
0.31228,-0,-0,-0,0,-0,0,-0,0
0,0.29019,0,0.31746,-0,0,-0,0,-0
-0,-0,-0,-0,0,-0,0,-0,0.45804
0.26405,-0,-0,-0,0,-0,0,-0,0
-0,-0,-0,-0,0.081615,-0,0,-0,0.5275
-0,0.30321,-0,-0,0,-0,0,0.33888,0
0.25511,0,0,-0,-0,-0,0,-0.2599,0
-0,-0,-0,-0,0,0.32206,0,-0,0
0,0,0,0,-0,0,-0,-0.27932,-0
-0,-0,0,0,0.28535,-0.25017,-0,0,-0
0,-0,0,0,0,0,-0,0,-0
0,-0.27426,0,-0,0,-0,-0,-0,-0
-0,0.32466,0,-0,0,0,-0,-0,0.26186
-0,-0,-0,-0,-0.24571,-0,0,0.23098,0
0.27286,0.32232,0.3088,0,-0.25442,-0,0.27464,-0.27069,-0
-0,-0,-0.30655,-0.30179,-0,-0,0.27942,0,0
-0,-0,-0,-0,0,-0,0,-0,-0.33679
-0,-0,0,-0.05681,1.1181,-0,0,-0,-0
-0,-0.28539,0,0,-0,0,-0.26935,0,-0
-0,0.26634,-0,-0,-0.26422,-0,0,-0,0
-0,-0.26973,-0.24564,0,0.27616,0,0.33536,-0,0
